ano,populacao,populacao_economicamente_ativa
1991,146815815,
1992,149236984,
1993,151571727,
1994,153725670,
1995,155822440,
1996,157070163,
1997,159636413,
1998,161790311,
1999,163947554,
2000,169872854,
2001,172385826,
2002,174632960,
2003,176871437,
2004,181581024,
2005,184184264,
2006,186770562,
2007,184014516,
2008,189612814,
2009,191446848,
2010,190755799,
2011,192379287,
2012,193946886,155330
2013,201032714,157565
2014,202768562,159679
2015,204450049,161679
2016,206081432,163603
2017,207660929,165459
2018,208494900,167246
2019,210147125,168997
2020,211755692,170678
2021,213317639,172283
