Região,UF,IBGE,Município,CATEGORIA DE IVS,"VAGAS CONFIRMADAS
FINANC. FEDERAL","VAGAS CONFIRMADAS
COPARTICIPAÇÃO",TOTAL VAGAS CONFIRMADAS
Norte,AC,120005,Assis Brasil,Alta vulnerabilidade,2,0,2
Norte,AC,120034,Manoel Urbano,Muito alta vulnerabilidade,1,0,1
Norte,AC,120035,Marechal Thaumaturgo,Muito alta vulnerabilidade,1,0,1
Norte,AC,120039,Porto Walter,Muito alta vulnerabilidade,1,0,1
Norte,AC,120040,Rio Branco,Média vulnerabilidade,1,0,1
Norte,AC,120042,Rodrigues Alves,Muito alta vulnerabilidade,1,0,1
Norte,AC,120050,Sena Madureira,Muito alta vulnerabilidade,1,0,1
Nordeste,AL,270010,agua Branca,Muito alta vulnerabilidade,1,0,1
Nordeste,AL,270070,Batalha,Alta vulnerabilidade,0,1,1
Nordeste,AL,270100,Boca da Mata,Alta vulnerabilidade,0,0,0
Nordeste,AL,270135,Campestre,Muito alta vulnerabilidade,1,0,1
Nordeste,AL,270210,Colônia Leopoldina,Muito alta vulnerabilidade,1,0,1
Nordeste,AL,270235,Craíbas,Muito alta vulnerabilidade,1,0,1
Nordeste,AL,270240,Delmiro Gouveia,Alta vulnerabilidade,1,1,2
Nordeste,AL,270250,Dois Riachos,Muito alta vulnerabilidade,1,0,1
Nordeste,AL,270290,Girau do Ponciano,Muito alta vulnerabilidade,1,0,1
Nordeste,AL,270330,Inhapi,Muito alta vulnerabilidade,3,0,3
Nordeste,AL,270380,Joaquim Gomes,Muito alta vulnerabilidade,2,0,2
Nordeste,AL,270390,Jundiá,Muito alta vulnerabilidade,1,0,1
Nordeste,AL,270400,Junqueiro,Alta vulnerabilidade,1,0,1
Nordeste,AL,270420,Limoeiro de Anadia,Muito alta vulnerabilidade,3,0,3
Nordeste,AL,270430,Maceió,Média vulnerabilidade,0,0,0
Nordeste,AL,270500,Mata Grande,Muito alta vulnerabilidade,2,0,2
Nordeste,AL,270540,Monteirópolis,Muito alta vulnerabilidade,2,0,2
Nordeste,AL,270550,Murici,Muito alta vulnerabilidade,1,0,1
Nordeste,AL,270600,Olivença,Muito alta vulnerabilidade,2,0,2
Nordeste,AL,270640,Pão de Açúcar,Alta vulnerabilidade,1,1,2
Nordeste,AL,270642,Pariconha,Muito alta vulnerabilidade,1,0,1
Nordeste,AL,270700,Pindoba,Alta vulnerabilidade,1,0,1
Nordeste,AL,270730,Porto Calvo,Alta vulnerabilidade,1,0,1
Nordeste,AL,270780,Roteiro,Muito alta vulnerabilidade,1,0,1
Nordeste,AL,270810,Santana do Mundaú,Muito alta vulnerabilidade,1,0,1
Nordeste,AL,270820,São Brás,Alta vulnerabilidade,1,0,1
Nordeste,AL,270840,São Jose da Tapera,Muito alta vulnerabilidade,5,0,5
Nordeste,AL,270890,Satuba,Média vulnerabilidade,0,3,3
Nordeste,AL,270895,Senador Rui Palmeira,Muito alta vulnerabilidade,0,0,0
Nordeste,AL,270900,Tanque d'Arca,Muito alta vulnerabilidade,1,0,1
Nordeste,AL,270915,Teotônio Vilela,Muito alta vulnerabilidade,2,0,2
Nordeste,AL,270930,União dos Palmares,Alta vulnerabilidade,2,0,2
Nordeste,AL,270940,Viçosa,Alta vulnerabilidade,0,0,0
Norte,AM,130080,Borba,Muito alta vulnerabilidade,1,0,1
Norte,AM,130090,Canutama,Muito alta vulnerabilidade,1,0,1
Norte,AM,130100,Carauari,Muito alta vulnerabilidade,2,0,2
Norte,AM,130110,Careiro,Muito alta vulnerabilidade,1,0,1
Norte,AM,130120,Coari,Muito alta vulnerabilidade,4,0,4
Norte,AM,130150,Envira,Muito alta vulnerabilidade,1,0,1
Norte,AM,130160,Fonte Boa,Muito alta vulnerabilidade,1,0,1
Norte,AM,130185,Iranduba,Alta vulnerabilidade,1,0,1
Norte,AM,130220,Juruá,Muito alta vulnerabilidade,2,0,2
Norte,AM,130230,Jutaí,Muito alta vulnerabilidade,1,0,1
Norte,AM,130260,MANAUS,Média vulnerabilidade,7,0,7
Norte,AM,130270,Manicoré,Muito alta vulnerabilidade,3,0,3
Norte,AM,130290,Maués,Muito alta vulnerabilidade,1,0,1
Norte,AM,130310,Nova Olinda do Norte,Muito alta vulnerabilidade,1,0,1
Norte,AM,130340,PARINTINS,Alta vulnerabilidade,1,0,1
Norte,AM,130420,Tefé,Alta vulnerabilidade,0,0,0
Norte,AM,130426,Uarini,Muito alta vulnerabilidade,1,0,1
Norte,AM,130440,Urucurituba,Muito alta vulnerabilidade,1,0,1
Norte,AP,160021,Cutias,Alta vulnerabilidade,1,0,1
Norte,AP,160023,Ferreira Gomes,Alta vulnerabilidade,0,1,1
Norte,AP,160027,Laranjal do Jari,Muito alta vulnerabilidade,2,0,2
Norte,AP,160040,Mazagão,Muito alta vulnerabilidade,1,0,1
Norte,AP,160050,Oiapoque,Muito alta vulnerabilidade,2,0,2
Norte,AP,160060,Santana,Média vulnerabilidade,0,2,2
Norte,AP,160005,Serra do Navio,Média vulnerabilidade,0,1,1
Norte,AP,160070,Tartarugalzinho,Muito alta vulnerabilidade,1,0,1
Norte,AP,160080,Vitoria do Jari,Alta vulnerabilidade,0,0,0
Nordeste,BA,290030,Acajutiba,Muito alta vulnerabilidade,2,0,2
Nordeste,BA,290070,Alagoinhas,Média vulnerabilidade,1,0,1
Nordeste,BA,290080,Alcobaça,Alta vulnerabilidade,1,0,1
Nordeste,BA,290135,Andorinha,Alta vulnerabilidade,1,0,1
Nordeste,BA,290160,Antas,Alta vulnerabilidade,0,0,0
Nordeste,BA,290190,Apora,Muito alta vulnerabilidade,0,0,0
Nordeste,BA,290200,Aracatu,Alta vulnerabilidade,0,0,0
Nordeste,BA,290210,Araci,Muito alta vulnerabilidade,2,0,2
Nordeste,BA,290220,Aramari,Muito alta vulnerabilidade,1,0,1
Nordeste,BA,290260,Baixa Grande,Alta vulnerabilidade,1,0,1
Nordeste,BA,290280,Barra da Estiva,Média vulnerabilidade,0,0,0
Nordeste,BA,290300,Barra do Mendes,Alta vulnerabilidade,1,0,1
Nordeste,BA,290310,Barra do Rocha,Alta vulnerabilidade,1,0,1
Nordeste,BA,290327,Barrocas,Alta vulnerabilidade,0,0,0
Nordeste,BA,290340,Belmonte,Muito alta vulnerabilidade,1,0,1
Nordeste,BA,290360,Biritinga,Muito alta vulnerabilidade,1,0,1
Nordeste,BA,290440,Brejolandia,Muito alta vulnerabilidade,1,0,1
